iter	Passed	Remaining
1483	6553	15527
1484	6556	15519
1485	6559	15511
1486	6563	15506
1487	6569	15504
1488	6572	15497
1489	6575	15489
1490	6579	15484
1491	6584	15481
1492	6587	15473
1493	6590	15466
1494	6593	15459
1495	6598	15454
1496	6601	15448
1497	6605	15441
1498	6608	15433
1499	6612	15429
1500	6617	15425
1501	6620	15418
1502	6623	15410
1503	6627	15405
1504	6633	15403
1505	6635	15395
1506	6638	15387
1507	6642	15382
1508	6647	15379
1509	6651	15372
1510	6653	15364
1511	6656	15356
1512	6661	15353
1513	6665	15347
1514	6668	15340
1515	6671	15331
1516	6675	15326
1517	6680	15324
1518	6684	15317
1519	6687	15310
1520	6691	15306
1521	6697	15305
1522	6700	15297
1523	6703	15289
1524	6707	15285
1525	6712	15282
1526	6716	15274
1527	6719	15267
1528	6723	15262
1529	6727	15257
1530	6731	15251
1531	6734	15243
1532	6737	15236
1533	6741	15231
1534	6745	15227
1535	6748	15220
1536	6751	15212
1537	6755	15206
1538	6760	15203
1539	6763	15196
1540	6767	15189
1541	6771	15184
1542	6775	15179
1543	6779	15173
1544	6784	15171
1545	6797	15185
1546	6800	15178
1547	6804	15173
1548	6808	15169
1549	6812	15164
1550	6815	15156
1551	6819	15150
1552	6824	15146
1553	6829	15144
1554	6833	15138
1555	6837	15133
1556	6842	15129
1557	6845	15123
1558	6848	15116
1559	6853	15113
1560	6858	15110
1561	6862	15103
1562	6870	15108
1563	6874	15103
1564	6877	15095
1565	6880	15087
1566	6883	15081
1567	6888	15077
1568	6892	15071
1569	6895	15064
1570	6897	15055
1571	6904	15055
1572	6908	15052
1573	6911	15044
1574	6914	15036
1575	6920	15035
1576	6924	15029
1577	6926	15021
1578	6929	15013
1579	6933	15008
1580	6938	15005
1581	6941	14998
1582	6944	14990
1583	6948	14984
1584	6953	14981
1585	6957	14975
1586	6960	14968
1587	6963	14961
1588	6968	14958
1589	6972	14953
1590	6975	14946
1591	6978	14938
1592	6982	14933
1593	6987	14930
1594	6990	14923
1595	6993	14915
1596	6997	14910
1597	7002	14907
1598	7005	14900
1599	7008	14893
1600	7011	14886
